id_1,id_2,route,moto,car,rv,bus,truck
829,827,1,2.05,4.14,4.14,10.1,15.2
829,821,4,6.63,13.26,13.26,32.4,48.5
829,804,7,14.41,28.92,28.92,64.7,97
829,822,6,5.9,11.81,11.81,28.8,43.2
829,826,9,2.87,5.81,5.81,14.2,21.2
829,807,2,9.81,19.62,19.62,46,69
829,809,4,7.91,15.72,15.72,38.4,57.5
829,801,1,18.21,36.32,36.32,79.5,119.2
829,824,7,8.77,21.4,21.4,32.1,4.35
829,823,4,5,10,10,24.4,36.6
829,831,9,1.72,3.36,3.36,8.3,12.4
829,808,5,8.51,16.92,16.92,40.7,61
829,802,5,16.91,33.72,33.72,74.3,111.4
829,805,3,12.41,24.82,24.82,56.5,84.7
829,825,2,3.69,7.46,7.46,18.2,27.3
829,806,9,11.61,23.22,23.22,53.4,80
829,830,7,1.23,2.38,2.38,5.9,8.8
829,803,2,15.21,30.52,30.52,67.9,101.8
827,829,10,2.05,4.14,4.14,10.1,15.2
827,821,9,4.73,9.43,9.43,23.1,34.6
827,804,9,12.52,25.13,25.13,55.4,83.1
827,822,9,4,8,8,19.5,29.3
827,826,2,1.07,2.05,2.05,5,7.5
827,807,1,7.92,15.83,15.83,36.7,55.1
827,809,8,6.02,11.93,11.93,29.1,43.6
827,801,9,16.32,32.53,32.53,70.2,105.3
827,824,9,2.46,4.92,4.92,12.1,18.1
827,823,3,3.09,6.15,6.15,15.1,22.6
827,831,2,3.52,7.04,7.04,17.2,25.7
827,808,10,6.62,13.13,13.13,31.4,47.1
827,802,4,15.02,29.93,29.93,65,97.5
827,805,2,10.52,21.03,21.03,47.2,70.8
827,825,2,1.8,3.65,3.65,8.9,13.4
827,806,4,9.72,19.43,19.43,44.1,66.1
827,830,8,3.03,6.06,6.06,14.8,22.2
827,803,7,13.32,26.73,26.73,58.6,101.8
821,829,3,6.63,13.26,13.26,32.4,48.5
821,827,3,4.73,9.43,9.43,23.1,34.6
821,804,1,8.01,16.12,16.12,33.3,50
821,822,5,0.9,1.8,1.8,4.4,6.7
821,826,8,4,8.01,8.01,19.5,29.3
821,807,6,3.41,6.82,7.97,14.6,22
821,809,3,1.51,2.92,2.92,7,10.5
821,801,6,11.81,23.52,23.52,48.1,72.2
821,824,4,2.53,5.06,5.06,12.3,18.5
821,823,2,1.8,3.67,3.67,9,13.4
821,831,8,8.08,16.15,16.15,39.4,59.1
821,808,3,2.11,4.12,4.12,9.3,14
821,802,1,10.51,20.92,20.92,42.9,64.4
821,805,6,6.01,12.02,12.02,25.1,37.7
821,825,7,3.11,6.22,6.22,15.2,22.8
821,806,3,5.21,10.42,10.42,22,33
821,830,3,7.59,15.17,15.17,37,55.5
821,803,7,8.81,17.72,17.72,36.5,54.8
804,829,10,14.41,28.92,28.92,64.7,97
804,827,3,12.52,25.13,25.13,55.4,83.1
804,821,3,8.01,16.12,16.12,33.3,50
804,822,5,8.59,17.27,17.27,36.2,54.3
804,826,1,11.68,23.47,23.47,51.3,77
804,807,1,4.8,9.5,9.5,19,28.6
804,809,5,6.8,13.7,13.7,27.4,41.1
804,801,10,3.9,7.7,7.7,15.4,23.1
804,824,10,10.21,20.52,20.52,44.1,66.2
804,823,9,9.49,19.13,19.13,40.7,61.1
804,831,3,15.87,31.84,31.84,71.7,107.6
804,808,6,6.1,12.3,12.3,24.6,36.8
804,802,6,2.6,5.2,5.2,10.3,15.5
804,805,1,2.2,4.4,4.4,8.8,13.2
804,825,3,10.79,21.68,21.68,46.9,70.4
804,806,5,3,6.1,6.1,12.2,18.2
804,830,8,15.38,30.87,30.87,69.4,104
804,803,5,1,2,2,3.9,5.9
822,829,8,5.9,11.81,11.81,28.8,43.2
822,827,2,4,8,8,19.5,29.3
822,821,8,0.9,1.8,1.8,4.4,6.7
822,804,2,8.59,17.27,17.27,36.2,54.3
822,826,3,3.28,6.55,6.55,16,24
822,807,1,3.99,7.97,7.97,17.5,26.3
822,809,9,2.09,4.07,4.07,9.9,14.8
822,801,3,12.39,24.67,24.67,51,76.5
822,824,9,1.8,3.6,3.6,8.8,13.2
822,823,3,1.15,2.21,2.21,5.4,8.1
822,831,4,7.36,14.68,14.68,35.9,53.8
822,808,4,2.69,5.27,5.27,12.2,18.3
822,802,10,11.09,22.07,22.07,45.8,68.7
822,805,5,6.59,13.17,13.17,28,42
822,825,5,2.38,4.76,4.76,11.6,17.4
822,806,6,5.79,11.57,11.57,24.9,37.3
822,830,10,6.87,13.74,13.74,33.5,50.3
822,803,5,9.39,18.87,18.87,39.4,59.1
826,829,2,2.87,5.81,5.81,14.2,21.2
826,827,10,1.07,2.05,2.05,5,7.5
826,821,2,4,8.01,8.01,19.5,29.3
826,804,7,11.68,23.47,23.47,51.3,77
826,822,7,3.28,6.55,6.55,16,24
826,807,10,7.08,14.17,14.17,32.6,49
826,809,10,5.18,10.27,10.27,25,37.5
826,801,4,15.48,30.87,30.87,66.1,99.2
826,824,8,1.72,3.5,3.5,8.5,12.8
826,823,6,2.37,4.74,4.74,11.6,17.4
826,831,9,4.35,8.69,8.69,21.2,31.8
826,808,3,5.78,11.47,11.47,27.3,41
826,802,6,14.18,28.27,28.27,60.9,91.4
826,805,2,9.68,19.37,19.37,43.1,64.7
