id,name,id_2,startDay,startTime,endDay,endTime,able2Hov2,able2Hov3,able3Hov2,able3Hov3,able5Hov2,able5Hov3,able4Hov2,able4Hov3
1040000,Montgomery,-1,Monday,05:00:00,Wednesday,10:00:00,3,3,-1,-1,3,3,3,3
1040010,Black,-1,Monday,10:00:00,Friday,15:00:00,6,6,-1,-1,6,6,6,6
1040020,Emerald,-1,Thursday,15:00:00,Friday,19:00:00,3,3,-1,-1,3,3,3,3
1040030,Foley,-1,Monday,19:00:00,Friday,23:59:59,6,6,-1,-1,6,6,6,6
1050000,Whittier,1050001,Saturday,00:00:00,Sunday,23:59:59,6,6,,-1,6,6,6,6
1050001,Whittier,1050000,Monday,00:00:00,Friday,05:00:00,6,,-1,-1,6,6,6,6
1200000,SR,1200002,Monday,05:00:00,Friday,10:00:00,,3,-1,-1,3,3,3,3
1200000,SR,1200004,Monday,10:00:00,Friday,15:00:00,6,6,-1,-1,6,6,6,6
1200000,SR,1200006,Tuesday,15:00:00,Saturday,19:00:00,6,6,-1,-1,6,6,6,6
1200000,SR,1200008,Monday,15:00:00,Friday,19:00:00,,3,-1,-1,3,3,3,3
1200000,SR,1200010,Monday,19:00:00,Friday,23:59:59,6,,-1,-1,6,6,6,6
1200000,SR,1200012,Saturday,00:00:00,Sunday,23:59:59,6,6,,-1,6,6,6,6
1200002,San,1200004,Monday,00:00:00,Friday,05:00:00,6,6,-1,-1,6,6,6,6
1200002,San,1200006,Monday,05:00:00,Tuesday,10:00:00,3,3,-1,-1,3,3,3,3
1280032,Lorain-Elyria,1280054,Monday,19:00:00,Friday,23:59:59,6,6,-1,-1,6,6,6,6
1280032,Lorain-Elyria,1280056,Saturday,00:00:00,Sunday,23:59:59,6,6,-1,-1,6,6,6,6
1280032,Lorain-Elyria,1280058,Monday,00:00:00,Friday,05:00:00,6,6,-1,-1,6,6,6,6
1280032,Lorain-Elyria,1280060,Monday,05:00:00,Friday,10:00:00,3,3,-1,-1,3,3,3,3
1280034,N.Ridgeville-Cleveland,1280036,Monday,10:00:00,Friday,15:00:00,6,6,-1,-1,6,6,6,6
1280034,N.Ridgeville-Cleveland,1280038,Monday,15:00:00,Friday,19:00:00,3,3,-1,-1,3,3,3,3
1280034,N.Ridgeville-Cleveland,1280040,Monday,19:00:00,Friday,23:59:59,6,6,-1,-1,6,6,6,6
1280034,N.Ridgeville-Cleveland,1280042,Saturday,00:00:00,Sunday,23:59:59,6,6,-1,-1,6,6,6,6
1280034,N.Ridgeville-Cleveland,1280044,Saturday,00:00:00,Sunday,23:59:59,6,6,-1,-1,6,6,6,6
1280034,N.Ridgeville-Cleveland,1280046,Monday,05:00:00,Wednesday,10:00:00,3,3,-1,-1,3,3,3,3
1280034,N.Ridgeville-Cleveland,1280048,Monday,10:00:00,Friday,15:00:00,6,6,-1,-1,6,6,6,6
1280034,N.Ridgeville-Cleveland,1280050,Thursday,15:00:00,Friday,19:00:00,3,3,-1,-1,3,3,3,3
1280034,N.Ridgeville-Cleveland,1280052,Monday,19:00:00,Friday,23:59:59,6,6,-1,-1,6,6,6,6
1280034,N.Ridgeville-Cleveland,1280054,Saturday,00:00:00,Sunday,23:59:59,6,6,,-1,6,6,6,6
1280034,N.Ridgeville-Cleveland,1280056,Monday,00:00:00,Friday,05:00:00,6,,-1,-1,6,6,6,6
1280034,N.Ridgeville-Cleveland,1280058,Monday,05:00:00,Friday,10:00:00,,3,-1,-1,3,3,3,3
1280034,N.Ridgeville-Cleveland,1280060,Monday,10:00:00,Friday,15:00:00,6,6,-1,-1,6,6,6,6
1280036,N.Olmsted-Cleveland,1280038,Tuesday,15:00:00,Saturday,19:00:00,6,6,-1,-1,6,6,6,6
1280036,N.Olmsted-Cleveland,1280040,Monday,15:00:00,Friday,19:00:00,,3,-1,-1,3,3,3,3
1280036,N.Olmsted-Cleveland,1280042,Monday,19:00:00,Friday,23:59:59,6,,-1,-1,6,6,6,6
1280036,N.Olmsted-Cleveland,1280044,Saturday,00:00:00,Sunday,23:59:59,6,6,,-1,6,6,6,6
1280036,N.Olmsted-Cleveland,1280046,Monday,00:00:00,Friday,05:00:00,6,6,-1,-1,6,6,6,6
1280036,N.Olmsted-Cleveland,1280048,Monday,05:00:00,Tuesday,10:00:00,3,3,-1,-1,3,3,3,3
1280036,N.Olmsted-Cleveland,1280050,Wednesday,10:00:00,Friday,15:00:00,6,6,-1,-1,6,6,6,6
1280036,N.Olmsted-Cleveland,1280052,Monday,15:00:00,Friday,19:00:00,3,3,-1,-1,3,3,3,3
1280036,N.Olmsted-Cleveland,1280054,Monday,19:00:00,Friday,23:59:59,6,6,-1,-1,6,6,6,6
1280036,N.Olmsted-Cleveland,1280056,Saturday,00:00:00,Sunday,23:59:59,6,6,-1,-1,6,6,6,6
1280036,N.Olmsted-Cleveland,1280058,Monday,00:00:00,Friday,05:00:00,6,6,-1,-1,6,6,6,6
1280036,N.Olmsted-Cleveland,1280060,Monday,05:00:00,Friday,10:00:00,3,3,-1,-1,3,3,3,3
1280038,Strongsville-Cleveland,1280040,Monday,10:00:00,Friday,15:00:00,6,6,-1,-1,6,6,6,6
1280038,Strongsville-Cleveland,1280042,Monday,15:00:00,Friday,19:00:00,3,3,-1,-1,3,3,3,3
1280038,Strongsville-Cleveland,1280044,Monday,19:00:00,Friday,23:59:59,6,6,-1,-1,6,6,6,6
1280038,Strongsville-Cleveland,1280046,Saturday,00:00:00,Sunday,23:59:59,6,6,-1,-1,6,6,6,6
1280038,Strongsville-Cleveland,1280048,Saturday,00:00:00,Sunday,23:59:59,6,6,-1,-1,6,6,6,6
1280038,Strongsville-Cleveland,1280050,Monday,05:00:00,Wednesday,10:00:00,3,3,-1,-1,3,3,3,3
1280038,Strongsville-Cleveland,1280052,Monday,10:00:00,Friday,15:00:00,6,6,-1,-1,6,6,6,6
1280038,Strongsville-Cleveland,1280054,Thursday,15:00:00,Friday,19:00:00,3,3,-1,-1,3,3,3,3
