id_start,id_end,distance
1001400,1001402,9.7
1001402,1001404,20.2
1001404,1001406,16
1001406,1001408,21.7
1001408,1001410,11.1
1001410,1001412,15.6
1001412,1001414,18.2
1001414,1001416,13.2
1001416,1001418,13.6
1001418,1001420,12.9
1001420,1001422,9.6
1001422,1001424,11.4
1001424,1001426,18.6
1001426,1001428,15.8
1001428,1001430,8.6
1001430,1001432,9
1001432,1001434,7.9
1001434,1001436,4
1001436,1001438,9
1001436,1001437,5
1001438,1001437,4
1001438,1001440,10
1001440,1001442,3.9
1001442,1001488,4.5
1001488,1004356,4
1004356,1004354,2
1004354,1004355,2
1004355,1001444,0.7
1001444,1001446,6.6
1001446,1001448,9.6
1001448,1001450,15.7
1001450,1001452,9.9
1001452,1001454,11.3
1001454,1001456,13.6
1001456,1001458,8.9
1001458,1001460,5.1
1001460,1001461,12.8
1001460,1001462,17.9
1001461,1001462,5.1
1001462,1001464,26.7
1001464,1001466,8.5
1001466,1001468,10.7
1001468,1001470,10.6
1001470,1001472,16
